PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=568 ttl=64 time=53.7 ms
64 bytes from 10.0.0.8: icmp_seq=571 ttl=64 time=24.1 ms
64 bytes from 10.0.0.8: icmp_seq=572 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=573 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=576 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=577 ttl=64 time=12.4 ms
64 bytes from 10.0.0.8: icmp_seq=578 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=581 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=582 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=583 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=586 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=587 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=588 ttl=64 time=29.9 ms
64 bytes from 10.0.0.8: icmp_seq=591 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=592 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=595 ttl=64 time=55.9 ms
64 bytes from 10.0.0.8: icmp_seq=596 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=597 ttl=64 time=12.5 ms
64 bytes from 10.0.0.8: icmp_seq=600 ttl=64 time=36.5 ms
64 bytes from 10.0.0.8: icmp_seq=601 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=602 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=605 ttl=64 time=26.4 ms
64 bytes from 10.0.0.8: icmp_seq=606 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=607 ttl=64 time=12.6 ms
64 bytes from 10.0.0.8: icmp_seq=610 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=611 ttl=64 time=12.3 ms
64 bytes from 10.0.0.8: icmp_seq=612 ttl=64 time=12.3 ms
